'sample interval','RESP'
'0.008 sec','pm'
733,0.147
734,0.120
735,0.093
736,0.068
737,0.044
738,0.022
739,0.002
740,-0.017
741,-0.034
742,-0.049
743,-0.064
744,-0.078
745,-0.090
746,-0.103
747,-0.112
748,-0.122
749,-0.130
750,-0.137
751,-0.144
752,-0.149
753,-0.154
754,-0.161
755,-0.166
756,-0.169
757,-0.174
758,-0.178
759,-0.181
760,-0.186
761,-0.188
762,-0.191
763,-0.196
764,-0.200
765,-0.205
766,-0.210
767,-0.215
768,-0.218
769,-0.222
770,-0.225
771,-0.227
772,-0.230
773,-0.232
774,-0.235
775,-0.235
776,-0.235
777,-0.232
778,-0.232
779,-0.230
780,-0.225
781,-0.220
782,-0.215
783,-0.208
784,-0.200
785,-0.191
786,-0.178
787,-0.169
788,-0.156
789,-0.144
790,-0.132
791,-0.115
792,-0.095
793,-0.073
794,-0.049
795,-0.017
796,0.012
797,0.049
798,0.088
799,0.122
800,0.159
801,0.193
802,0.230
803,0.269
804,0.308
805,0.352
806,0.394
807,0.433
808,0.469
809,0.504
810,0.538
811,0.567
812,0.597
813,0.621
814,0.645
815,0.663
816,0.680
817,0.689
818,0.699
819,0.702
820,0.704
821,0.702
822,0.699
823,0.689
824,0.677
825,0.660
826,0.641
827,0.621
828,0.599
829,0.577
830,0.555
831,0.528
832,0.501
833,0.469
834,0.438
835,0.406
836,0.377
837,0.345
838,0.315
839,0.289
840,0.262
841,0.240
842,0.215
843,0.196
844,0.176
845,0.156
846,0.139
847,0.125
848,0.108
849,0.095
850,0.083
851,0.071
852,0.059
853,0.046
854,0.037
855,0.027
856,0.017
857,0.007
858,-0.002
859,-0.010
860,-0.017
861,-0.024
862,-0.032
863,-0.039
864,-0.044
865,-0.051
866,-0.059
867,-0.066
868,-0.073
869,-0.078
870,-0.086
871,-0.093
872,-0.100
873,-0.110
874,-0.117
875,-0.127
876,-0.137
877,-0.144
878,-0.154
879,-0.161
880,-0.169
881,-0.174
882,-0.178
883,-0.183
884,-0.188
885,-0.193
886,-0.198
887,-0.200
888,-0.203
889,-0.203
890,-0.205
891,-0.205
892,-0.208
893,-0.208
894,-0.210
895,-0.210
896,-0.213
897,-0.213
898,-0.215
899,-0.215
900,-0.215
901,-0.218
902,-0.218
903,-0.218
904,-0.215
905,-0.215
906,-0.215
907,-0.215
908,-0.213
909,-0.213
910,-0.213
911,-0.213
912,-0.210
913,-0.210
914,-0.210
915,-0.208
916,-0.208
917,-0.205
918,-0.205
919,-0.203
920,-0.200
921,-0.198
922,-0.196
923,-0.191
924,-0.186
925,-0.181
926,-0.174
927,-0.169
928,-0.161
929,-0.156
930,-0.149
931,-0.142
932,-0.132
933,-0.122
934,-0.110
935,-0.098
936,-0.083
937,-0.068
938,-0.054
939,-0.039
940,-0.024
941,-0.010
942,0.005
943,0.022
944,0.042
945,0.061
946,0.083
947,0.103
948,0.122
949,0.142
950,0.161
951,0.186
